english|hindi_concept|type|japanese|hirangana|pronunciation|example_eng|example_jap
larynx_1|kaMTa,paMceMxriya,svarayaMwra|noun|喉頭|こうとう|koutou_1|inlet of larynx|喉頭の入り口
lascivious_1||adjective|わいせつ|わいせつ|waisetsu_1|lascivious behavior|わいせつ行為
laser_1|lejara|noun|レーザー|れーざー|reezaa_1|a laser pointer|レーザー・ポインター
lash_1|cAbuka,haMtara,kaSa,kasakara+bAzXa,kode+lagA,se+takarA,SIGrawA+se+hilA|noun|鞭|むち|muchi_1|stroke of a lash|鞭での一撃
last_1|AKirI,AKZirI,aMwima,anwima,anwima+bAra,cala,calawe+raha,carama,gawa,jIviwa+raha,piCalA,sabase+bAxa+meM,tika,vAgawa|adjective|最後の|さいごの|saigono_1|last chance|最後のチャンス
last_2|AKirI,AKZirI,aMwima,anwima,anwima+bAra,cala,calawe+raha,carama,gawa,jIviwa+raha,piCalA,sabase+bAxa+meM,tika,vAgawa|verb|続く|つづく|tsudsuku_1|last forever|永遠に続く
last-week_1||noun|先週|せんしゅう|senshuu_1|Last week we celebrated our organization's 100th anniversary.|先週は我々の組織の100周年を記念した。
last-will_1||noun|遺志|いし|ishi_1|the last will of the deceased|故人の遺志
last-year_1||noun|去年|きょねん|kyonen_1|pay off the bills from last year|去年の請求書を支払う
last-year_2||noun|昨年|さくねん|sakunen_1|Last year, we achieved most of our business goals. (formal)|昨年は本社のほとんどの事業目標が達成されました。
latch_1|cataKanI,sitakinI,sitakinI+lagA|noun|ラッチ|らっち|racchi_1|safety latch|安全ラッチ
late_1|bAxa+ke,leta,leta,leta,leta,marahUma,marahUma,marahUma,marahUma,svargika,svargika,svargika,svargika,svargIya,svargIya,svargIya,svargIya,xivaMgawa,xivaMgawa,xivaMgawa,xivaMgawa|adjective|遅い|おそい|osoi_1|a late supper|遅い夜食
late_2|bAxa+ke,leta,leta,leta,leta,marahUma,marahUma,marahUma,marahUma,svargika,svargika,svargika,svargika,svargIya,svargIya,svargIya,svargIya,xivaMgawa,xivaMgawa,xivaMgawa,xivaMgawa|adjective|遅れる|おくれる|okureru_1|be late from class|授業に遅れる
late-summer_1||noun|晩夏|ばんか|banka_1|during the late summer and early fall|晩夏から初秋にかけて
latent_1|alakRya,aMwarhiwa,aprakata,gupwa,nigUDZa,parokRa,pihiwa,pinahAz,pracCanna|adjective|潜在|せんざい|senzai_1|latent genes|潜在遺伝子
latent_2|alakRya,aMwarhiwa,aprakata,gupwa,nigUDZa,parokRa,pihiwa,pinahAz,pracCanna|adjective|潜在的|せんざいてき|senzaiteki_1|latent emotion|潜在的感情
later_1|apara,apara,apara,apara,apara,bAxakA,bAxakA,bAxameM,bAxameM,paravarwI,paravarwI,paravarwI,paravarwI,paravarwI,paSca,paSca,paSca,paSca,paSca,uwwara,uwwara,uwwaravarwI,uwwaravarwI,uwwaravarwI,uwwaravarwI,uwwaravarwI|adverb|後で|あとで|atode_1|I'll call you later.|後ほどお電話いたします。
lateral_1|pArSvika|adjective|側面|そくめん|sokumen_1|lateral collision|側面衝突
latest_1|navInawama,navInawama|adjective|最新|さいしん|saishin_1|latest computer|最新のコンピューター
latex_1||noun|ラテックス|らてっくす|ratekkusu_1|natural latex|天然ラテックス
lathe_1|KZarAxa|noun|旋盤|せんばん|senban_1|digital lathe|デジタル旋盤
latitude_1|akRAMwara,akRASa,vyavahAra+meM+svawanwrawA|noun|緯度|いど|ido_1|solar latitude|太陽緯度
latter_1|apara,paSca,piCalA|adjective|後|こう|kou_1|latter part of the twentieth century|20世紀後半
latter_2|apara,paSca,piCalA|noun|後者|こうしゃ|kousha_1|believe the latter|後者を信じる
lattice_1|jAlaka,JazJarI,JiMJarI|noun|格子|ごうし|goushi_1|regular lattice|規則的格子
laud_1|praSaMsA+kara|verb|称賛する|しょうさん|shousan_1|laud someone's effort|人の努力を称賛する
laugh-at_1||verb|笑う|わらう|warau_1|laugh at someone's failure|人の失敗を笑う
laughingstock_1||noun|笑いもの|わらいもの|waraimono_1|laughingstock of the class|教室の中の笑いもの
laughter_1|hazsI,vihasana|noun|笑い声|わらいごえ|waraigoe_1|joyful laughter|楽しそうな笑い声
launch_1|AramBa+kara,badI+motara+bota,Coda,pravarwwana+kara,TAna|verb|開始する|かいし|kaishi_1|launch a big offensive|大規模攻撃を開始する
launch_2|AramBa+kara,badI+motara+bota,Coda,pravarwwana+kara,TAna|noun|打ち上げ|うちあげ|uchiage_1|shuttle launch|シャトルの打ち上げ
launder_1|Xo|verb|洗う|あらう|arau_1|launder winter clothes|冬服を洗う
laundry_1|kapadoM+kI+XulAI+kA+vyApAra,XulAI+vAle+kapade|noun|洗濯物|せんたくもの|sentakumono_1|dirty laundry|汚れた洗濯物
laurel_1|jayapawra|noun|月桂樹|げっけいじゅ|gekkeiju_1|laurel leaf|月桂樹の葉
lava_1|lAvA|noun|溶岩|ようがん|yougan_1|alkalic lava|アルカリ質溶岩
lavatory_1|saMdAsa,SOcAlaya|noun|トイレ|といれ|toire_1|lady's lavatory|女性用トイレ
lavender_1||noun|ラベンダー|らべんだー|rabenda-_1|fragrance of lavender|ラベンダーの香り
lavish_1|PijUlaKarca,saKaraca|adjective|贅沢|ぜいたく|zeitaku_1|lavish house|贅沢な家
law_1|AIna,kAnUna,kZAnUna,niyama,sisAnwa,viXi,viXi+rakRaka|noun|法律|ほうりつ|houritsu_1|present law|現行の法律
lawn_1|loYna|noun|芝生|しばふ|shibafu_1|newly-mown lawn|刈ったばかりの芝生
lawrencium_1||noun|ローレンシウム|ろーれんしうむ|ro-renshiumu_1|lawrencium crystal|ローレンシウム結晶
leash_1||verb|鎖でつなぐ|くさりでつなぐ|kusaridetsunagu_1|leash a dog|犬を鎖でつなぐ
leash_2||noun|鎖|くさり|kusari_1|let go of a leash|鎖から手を離す
least_1||adjective|最小|さいしょう|saishou_1|least cost|最小費用
leather_1|camadA,camadZA,carma|noun|革|かわ|kawa_1|crocodile leather|ワニ革
leatherwork_1||noun|革製品|かわせいひん|kawaseihin_1|look for leatherwork|革製品を求める
leathery_1||adjective|革のような|かわのような|kawanoyouna_1|having leathery leave|革のような葉を持っている
leave_1|anumawamawi,avakASa,BUla+jA,cale+jA,CodZa,CodZa,CodZa+jA,CuttI,ijAjawa,jA,ruKZasawa,SeRa+raha+jA,SeRa+vaca,uwwaraxAyiwva+sOMpa,waja|verb|残す|のこす|nokusu_1|leave a legacy to the next generation|次の世代に財産を残す
leave_2|anumawamawi,avakASa,BUla+jA,cale+jA,CodZa,CodZa,CodZa+jA,CuttI,ijAjawa,jA,ruKZasawa,SeRa+raha+jA,SeRa+vaca,uwwaraxAyiwva+sOMpa,waja|verb|去る|さる|saru_1|leave the room|部屋を去る
leaven_1|wanAva+kama+kara|verb|発酵する|はっこう|hakkou_1|leavened cake|発酵させたケーキ
lecher_1||noun|助平|すけべい|sukebei_1|He is a lecher.|彼は助平です。
lechery_1|EyASI|noun|好色|こうしょく|koushoku_1|Lechery and covetousness go together.|好色と貪欲は相性がいい。
lecture_1|AlocanA+kara,lambA+kaWana,lekcara,vyAKyAna,wakZarIra|noun|講義|こうぎ|kougi_1|lecture on philosophy|哲学講義
ledge_1||noun|棚|たな|tana_1|on a window ledge|窓の棚に
lee_1||adjective|風下|かざしも|kazashimo_1|lee shore|風下の海岸
leech_1|joMka|noun|ヒル|ひる|hiru_1|aquatic leech|水生ヒル
leek_1||noun|ネギ|ねぎ|negi_1|raw leek|生ネギ
leery_1||adjective|疑い深い|うたがいぶかい|utagaibukai_1|leery man|疑い深い人
leeward_1||adjective|風下|かざしも|hazashimo_1|leeward side|風下側
leeway_1|anuvAwa+xUrI|noun|余裕|よゆう|yoyuu_1|give someone leeway|人に余裕を与える
leeway_2|anuvAwa+xUrI|noun|ゆとり|ゆとり|yutori_1|life with leeway|ゆとりのある生活
left_1|avaSiRta,bAeM,bAIM,bAyAz,vAma|noun|左|ひだり|hirari_1|turn left by the next corner|次の角で左に曲がる
leftmost_1||adjective|左端の|ひだりはしの|hidarihashino_1|leftmost field|左端のフィールド
leftover_1||noun|残り物|のこりもの|nokorimono_1|cook by using leftovers|残り物を使って料理する
leg_1|caraNa,godZa,lAwa,padAva,pAxa,pAzva,pAzyacA,pEra,tAMga,taMgadIz,tAzga|noun|脚|あし|ashi_1|injure one's leg in an accident|事故で脚を怪我する
legacy_1|paramparA+meM+prApwa,pEwrika+sampawwi,qkWa,rikWa,vasIyawa,virAsawa|noun|遺産|いさん|isan_1|historical legacy|歴史的遺産
legal_1|kZAnUnI,vEXa|adjective|法的|ほうてき|houteki_1|legal arrangement|法的処置
legato_1||adjective|レガート|れがーと|rega-to_1|legato technique|レガート奏法
legend_1|AKyAna,KyAwi+prApwa+vyakwi,muxrAleKa,paricayapaMkwi,xaMwakaWA,xaMwa+kaWA|noun|伝説|でんせつ|densetsu_1|pass into legend|伝説になる
legendary_1|anEwihAsika|adjective|伝説的|でんせつてき|densetsuteki_1|legendary figure|伝説的人物
legging_1||noun|レギンス|れぎんす|reginsu_1|crop legging|クロップレギンス
leggy_1||adjective|脚の長い|あしのながい|ashinonagai_1|leggy model|脚の長いモデル
legible_1|pATya,supATya|adjective|読みやすい|よみやすい|yomiyasui_1|legible character|読みやすい文字
legion_1||noun|軍団|ぐんだん|gundan_1|Arab Legion|アラブ軍団
legislate_1||verb|法律を制定する|ほうりつをせいていする|houritsuwoseiteisuru_1|legislate for gun control|銃を規制する法律を制定する
legitimacy_1||noun|正当性|せいとうせい|seitousei_1|suffer from questions of legitimacy|正当性にかかわる問題に悩まされる
legitimate_1|halAla,jAyajZa,vEXa|adjective|正当|せいとう|seitou_1|legitimate criminal investigation|正当な犯罪捜査
legume_1||noun|豆|まめ|mame_1|dried legume|乾燥豆
leguminous_1||adjective|マメ科|まめか|mameka_1|leguminous plants|マメ科植物
limousine_1|limojIna|noun|リムジン|りむじん|rimujin_1|official limousine|公用リムジン
limp_1|kaTinAI+se+Age+baDa+pA,laMga,laMgadA,lazgadZA,lazgadZA,lazgadZA,SakwihIna|adjective|柔軟|じゅうなん|juunan_1|limp material|柔軟材料
limpid_1||adjective|透明|とうめい|toumei_1|limpid water|透明な水
line_1|KZawa,kZawAra,lAina,lakIra,lakira,lakZIra,mAlA,mAlikA,paMkwa,paMkwi,parivahana+kampanI,pAzwa,rAji,reKa,reKA,rUla,saPZa,sawara,silasilA,SIrRa,XArI,xiSA|noun|線|せん|sen_1|a curved line|曲線
